No.,Quantity,Name,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,Price,Price * Quantity, per package Price ,Link
1,3,Capacitor,22uF,"C1,C3,C4",C0805,22uF,CL21A226MPQNNNE,SAMSUNG(??),C29277,LCSC,"0,0038 €"," 0,0114 € ",,https://www.lcsc.com/product-detail/C29277.html
2,5,Capacitor,100nF,"C2,C5,C6,C7,C9",C0402,100nF,CL05B104KO5NNNC,SAMSUNG(??),C1525,LCSC,"0,0003 €"," 0,0015 € ",,https://www.lcsc.com/product-detail/C1525.html
3,1,Capacitor,10uF,C8,C0402,10uF,CL05A106MP5NUNC,SAMSUNG(??),C315248,LCSC,"0,0015 €"," 0,0015 € ",,https://www.lcsc.com/product-detail/C315248.html
4,2,Capacitor,10uF,"C10,C11",C0402,10uF,CL05A106MQ5NUNC,SAMSUNG(??),C15525,LCSC,"0,0011 €"," 0,0022 € ",,https://www.lcsc.com/product-detail/C15525.html
5,1,Capacitor,1000uF,C12,"CAP-TH_BD8.0-P3.50-D0,6-FD",1000uF,KM1A102MF115A00CV0,HUAWEI(????),C189254,LCSC,"0,0091 €"," 0,0091 € ",,https://www.lcsc.com/product-detail/C189254.html
6,1,Diode,1N4148WS,D1,SOD-323_L1.8-W1.3-LS2.5-RD,,1N4148WS,CJ(????/??),C2128,LCSC,"0,0014 €"," 0,0014 € ",,https://www.lcsc.com/product-detail/C2128.html
7,1,Diode,BAT760-7,D2,SOD-323_L1.8-W1.3-LS2.5-RD,,BAT760-7,DIODES(??),C124187,LCSC,"0,0092 €"," 0,0092 € ",,https://www.lcsc.com/product-detail/C124187.html
8,3,TVS Diode,LESD5D5.0CT1G,"D3,D4,D5","SOD-523_L1.2-W0,8-LS1.6-BI",,LESD5D5.0CT1G,UMW(?????),C5199850,LCSC,"0,0022 €"," 0,0066 € ",,https://www.lcsc.com/product-detail/C5199850.html
9,8,2-Pin Male Header,PZ254V-11-02P,"H1,H2,H3,H4,H5,H6,H7,H8",HDR-TH_2P-P2.54-V-M,,PZ254V-11-02P,XFCN(??),C492401,LCSC,"0,0024 €"," 0,0192 € ",,https://www.lcsc.com/product-detail/C492401.html
10,18,3-Pin Male Header,2.54-1*3P?,"H9,H10,H11,H12,H13,H14,H15,H16,H17,H32,H33,H34,H35,H36,H37,H38,H39,H40",HDR-TH_3P-P2.54-V-M-1,,2.54-1*3P?,BOOMELE(????),C49257,LCSC,"0,0034 €"," 0,0612 € ",,https://www.lcsc.com/product-detail/C49257.html
11,1,LED Red,KT-0805R,LED1,LED0805-R-RD,,KT-0805R,KENTO,C2295,LCSC,"0,0017 €"," 0,0017 € ",,https://www.lcsc.com/product-detail/C2295.html
12,2,Bipolar Transistor,SS8050-G(RANGE:200-350),"Q1,Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,SS8050-G(RANGE:200-350),CJ(????/??),C164885,LCSC,"0,0023 €"," 0,0046 € ",,https://www.lcsc.com/product-detail/C164885.html
13,1,MOSFET,IRLML6401,Q3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,IRLML6401,KEXIN(??),C382329,LCSC,"0,0057 €"," 0,0057 € ",,https://www.lcsc.com/product-detail/C382329.html
14,1,Resistor,2k?,R1,R0402,2k?,0402WGF2001TCE,UNI-ROYAL(??),C4109,LCSC,"0,0002 €"," 0,0002 € ",,https://www.lcsc.com/product-detail/C4109.html
15,28,Resistor,10k?,"R2,R3,R4,R5,R6,R7,R8,R9,R10,R18,R21,R22,R30,R31,R32,R33,R34,R35,R44,R58,R59,R60,R61,R65,R67,R68,R75,R76",R0402,10k?,FRC0402F1002TS,FOJAN(??),C2906861,LCSC,"0,0001 €"," 0,0028 € ",,https://www.lcsc.com/product-detail/C2906861.html
16,10,Resistor,0?,"R11,R14,R17,R55,R56,R57,R64,R66,R77,R78",R0402,0?,RC0402FR-070RL,YAGEO(??),C106231,LCSC,"0,0002 €"," 0,0020 € ",,https://www.lcsc.com/product-detail/C106231.html
17,2,Resistor,5.1k?,"R12,R13",R0402,5.1k?,0402WGF5101TCE,UNI-ROYAL(??),C25905,LCSC,"0,0002 €"," 0,0004 € ",,https://www.lcsc.com/product-detail/C25905.html
18,18,Resistor,220?,"R15,R16,R19,R20,R24,R25,R28,R29,R36,R54,R62,R63,R69,R70,R71,R72,R73,R74",R0402,220?,0402WGF2200TCE,UNI-ROYAL(??),C25091,LCSC,"0,0002 €"," 0,0036 € ",,https://www.lcsc.com/product-detail/C25091.html
19,1,Resistor,22.1k?,R23,R0402,22.1k?,0402WGF2212TCE,UNI-ROYAL(??),C43473,LCSC,"0,0002 €"," 0,0002 € ",,https://www.lcsc.com/product-detail/C43473.html
